"","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample20","Sample6","Sample63","Sample7","Sample8","Sample9"
"Obox4-ps4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obox4-ps5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obox4-ps6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obox4-ps7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obox4-ps8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obox4-ps9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obox6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obox6-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obox8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obp1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obp1b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obp2a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Obp2b",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Ocel1",304.703,336.675,288.309,271.923,267.073,179.133,222.693,263.307,196.504,265.458,270.401,212.259,339.928,173.08,267.255
"Ocstamp",3.923,1,0,3.996,0,0,0,1.18,0,1,1,0,0,1,0
"Odad2",4.805,5.055,2,0,7.651,9.232,1.351,6.734,21.035,5.095,11.984,9.485,15.865,3.027,8.185
"Odaph",0,0,0,29.257,0,0,0,0,1.006,1.009,0,0,0,0,0
"Odc1",1538.345,1730.863,1162.47,6293.168,1632.467,1636.37,1323.471,1235.731,2774.062,1193.498,1412.228,1343.663,1904.606,1122.449,1596.997
"Odf1",0,0,0,1.004,0,0,0,0,3.001,0,0,0,1,0,0
"Oga",4862.64,4318.395,3779.463,6534.257,3821.45,5438.809,4259.205,3785.752,4561.015,4783.481,3669.312,4520.01,4916.964,2753.881,2955.493
"Ogdhl",4073.015,4376.611,3169.885,2931.36,3046.648,2467.463,3610.11,3189.294,4665.246,3554.43,3026.414,2504.909,4409.409,2986.31,3107.403
"Ogfod3",157.091,113.999,76.671,85.201,97.112,48.846,88.457,82.224,164.325,78.164,107.488,87.124,155.299,71.548,106.481
"Ogn",102.312,66.263,58.776,24.074,23.183,69.047,40.665,35.351,35.115,31.706,136.576,40.076,82.659,18.354,27.143
"Oip5",8.244,2.012,6.633,0,0,1.03,5.095,4.88,12.029,2.006,7.837,1.255,6.814,0,7.846
"Oit3",0,1.367,0,4.054,1.123,0,1.001,1.001,2.001,0,1,0,2.982,1.023,0
"Olfm2",1327.856,1801.364,1226.309,3747.378,1835.722,892.372,1271.472,2057.468,2607.088,2981.491,1203.907,2355.98,1217.763,1887.39,1709.251
"Olfm4",37.113,22.517,35.181,51.692,19.936,28.038,24.393,24.779,24.12,21.674,25.708,19.475,44.384,7.995,16.119
"Olfml1",265.97,323.858,158.609,97.417,233.426,170.713,179.013,186.791,241.774,110.916,321.168,73.512,280.76,213.466,159.667
"Olfml2a",111.397,147.353,62.952,26.154,43.471,30.729,55.232,67.992,89.43,49.487,153.27,41.219,73.657,37.901,31.337
"Olfml2b",352.153,448.891,713.671,305.451,361.832,407.613,369.391,325.416,302.598,566.451,423.581,188.212,879.548,307.248,489.258
"Olfr1007-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr1041-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr1060-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr1319-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr1345-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr1401-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr1421-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr1482-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr1485-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr1566-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olfr184-ps1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
